Lokasi Dialog,Nama Dialog,Nama Karakter,Avatar Karakter,Kalimat 1,Kalimat 2,Kalimat 3,Kalimat 4
Depan Sekolah,Sekolah Tutup,Sekloah,,Pintu sekolah terkunci.,Kamu menyadari kalau ini sudah malam,Tentu saja sekolah tutup,
Lorong Sekolah Lt 1,Tanda Pintu Kantin,Tanda,,“Kantin”,,,
Kantin,Ibu Kantin,Ibu Kantin,,mau beli apa dek?,,,
Kantin,Display Jajan,Display Jajan,,"jajanan didalam sini terlihat sangat enak, jadi ingin beli 1",,,
Kantin,Kulkas,Kulkas Kantin,,"munuman didalam kulkas terlihat segar, jadi ingin beli 1",,,
Kantin,Meja Kantin,Meja Kantin,,Meja ini sepertinya tidak ditempati,,,
Kantin,Npc Figuran Cewek,Adik Kelas,,"Pilihan jajan disini banyak, kesukanku rotinya",,,
Kantin,Npc Figuran Cowok,Adik Kelas,,Much much much. (sepertinya sibuk makan),,,
Lorong Sekolah Lt 2,Tanda Pintu Kelas,Tanda,,“Ruang Kelas”,,,
Lorong Sekolah Lt 3,Loker,Loker,,(kamu mengecek lokermu dan menguncinya kembali),,,
Kelas,Budi,Budi,,hai [player] apa kau sudah mengerjakan PR?,,,
Kelas,Julia,,,"hai [player] duduklah di bangkumu, sebentar lagi bel sekolah berbunyi",,,
Kelas,Papan Tulis,Papan Tulis,,papan tulis terlihat bersih.,sepertinya petugas piket sudah membersihkannya,,
Kelas,Meja Guru,Meja Guru,,kamu menyadari bahwa meja guru lebih besar dibandingkan meja siswa,,,
Kelas,Meja Kiri Atas (Meja Julia),Meja Siswa,,Maja Ini ditempat Julia,,,
Kelas,Meja Tengah Atas (Mejamu),Meja Siswa,,Meja ini adalah mejamu,,,
Kelas,Meja Kanan Atas (Meja Budi),Meja Siswa,,Meja Ini ditempati Budi,,,
Kelas,Meja Kiri Bawah,Meja Siswa,,Meja murid lain.,,,
Kelas,Meja Tengah Bawah,Meja Siswa,,Meja murid lain.,,,
Kelas,Meja Kanan Bawah,Meja Siswa,,Meja murid lain.,,,
Kelas,Mulai Kelas,Meja Siswa,,Kelas Masih Belum Di Mulai.,Tunggu Hingga Kelas Di Mulai?,,
Kelas,Masuk Kelas,Kelas,,Sepertinya Kelas Sudah Di Mulai,Masuk Kelas?,,
Lorong Sekolah Lt 2 Bagian 2,Tanda Pintu Kanan,Tanda,,“Ruang Kepala Sekolah”,,,
Lorong Sekolah Lt 2 Bagian 2,Pintu Ruang Kanan,Tanda,,Kamu tidak memiliki alasan untuk bertemu kepala sekolah,,,
Lorong Sekolah Lt 2 Bagian 2,Tanda Pintu Ruang Guru,,,“Ruang Guru”,,,
Ruang Guru,Sofa ,Sofa,,Sepertinya digunakan saat ada tamu,,,
Ruang Guru,Komputer Pak Rio,Komputer,,Sepertinya ini komputer Pak Rio,ada aplikasi yang sedang terbuka. Mungkin pekerjaan sekolah.,lebih baik tidak kamu sentuh.,
Ruang Guru,Rak Buku,Rak Buku,,Rak ini berisi daftar absen dan dokumen-dokumen sekolah lainnya.,sebaiknya tidak kamu lihat tanpa izin,,
Ruang Guru,Pak Rio,,,"hai [player] bagaimana harimu, apa kau berteman baik dengan teman sekelasmu?",,,
Ruang Guru,Bu Rahmi,,,oh hai [player] bagaimana harimu?,,,
Lorong Sekolah Lt 3,Tanda,,,Sepertinya pintu ini menuju atap sekolah,Pintunya Terkunci.,,
Lorong Sekolah Lt 3,Pintu Atap,,,"pintu ini menuju atap sekolah dengan pemandangan yang bagus, ",(Kamu mencoba membukaya),yah ... pintunya terkunci :(,
